identificatie,naam,code,ligtInProvincieCode,ligtInProvincieNaam,fuuid,area_total,area_m2,n2k_area_natura,pct_natura
GM0080,Leeuwarden,"0080","21",Fryslân,gemeentegebied.2c858721-48e1-4c29-851a-53c5652d0d65,255059702.151087,255059702.151087,12641563,4.956
GM0772,Eindhoven,"0772","30",Noord-Brabant,gemeentegebied.90f6d3cc-cff3-4e29-85a0-d23e638f1a7b,89372311.6320837,89372311.6320837,38957,0.044
GM0088,Schiermonnikoog,"0088","21",Fryslân,gemeentegebied.1f24b57d-d0bd-4b55-998a-bdf843fc47ce,203535920.943514,203535920.943514,8329909,4.093
GM1903,Eijsden-Margraten,"1903","31",Limburg,gemeentegebied.185fa111-4ee2-45d5-bfb2-389b1eb439c0,78759981.7483699,78759981.7483699,44764,0.057
GM1954,Beekdaelen,"1954","31",Limburg,gemeentegebied.b85295b1-811f-4f2a-ac90-1e7135b39df3,78485138.0796968,78485138.0796968,42454,0.054
GM0888,Beek,"0888","31",Limburg,gemeentegebied.0f1541e4-b0c9-4c28-9d03-9cf23589c7c1,21071173.0152403,21071173.0152403,0,0.000
GM0986,Voerendaal,"0986","31",Limburg,gemeentegebied.b96d7e3c-c920-49df-9dbf-afc3b89dba1c,31518471.4816927,31518471.4816927,652161,2.069
GM0882,Landgraaf,"0882","31",Limburg,gemeentegebied.c6a26a9b-d933-4900-a693-4e3f3144a72b,24663491.0335113,24663491.0335113,892220,3.618
GM0899,Brunssum,"0899","31",Limburg,gemeentegebied.5cf4f540-dbfe-4e28-a09a-427d650a73a0,17337071.8831936,17337071.8831936,1672970,9.650
GM0994,Valkenburg aan de Geul,"0994","31",Limburg,gemeentegebied.f3eea5f0-fbaa-49f8-85ce-f8399dd21c37,36921153.3267574,36921153.3267574,4136,0.011
GM0928,Kerkrade,"0928","31",Limburg,gemeentegebied.ede86e35-03cb-401f-92c9-a85a3d58d737,22150853.7602605,22150853.7602605,,0.000
GM0981,Vaals,"0981","31",Limburg,gemeentegebied.82a95cf4-3b30-4802-8096-087503abf61c,23895039.5801653,23895039.5801653,7452133,31.187
GM0935,Maastricht,"0935","31",Limburg,gemeentegebied.96fa0071-af10-481f-b37d-ab0c27b9d483,60113187.5962023,60113187.5962023,49865,0.083
GM0917,Heerlen,"0917","31",Limburg,gemeentegebied.9fbc7138-aa61-4b65-adea-73e9430e8189,45526348.5515003,45526348.5515003,2853739,6.268
GM0971,Stein,"0971","31",Limburg,gemeentegebied.938976d0-ff61-46f3-a9e0-3df13196bb47,22798920.320136,22798920.320136,596383,2.616
GM0938,Meerssen,"0938","31",Limburg,gemeentegebied.01e6bbe3-f88d-4545-aabf-eed70196f640,27655340.3057029,27655340.3057029,1305024,4.719
GM0965,Simpelveld,"0965","31",Limburg,gemeentegebied.2b89edf6-57ce-4892-8475-b9089c79b95b,16028273.1112541,16028273.1112541,153407,0.957
GM1729,Gulpen-Wittem,"1729","31",Limburg,gemeentegebied.1e59222a-f731-4141-9acb-2d19dd193eff,73352460.5380309,73352460.5380309,9919967,13.524
